config,frequency_hz,run,msg_index,send_ts_us,recv_ts_us,rtt_ms,status
serial_adhoc,100,4,1,1775645432994423,1775645433005829,11.406,ok
serial_adhoc,100,4,2,1775645433004494,1775645433016501,12.007,ok
serial_adhoc,100,4,3,1775645433014530,1775645433026825,12.295,ok
serial_adhoc,100,4,4,1775645433024504,1775645433036661,12.157,ok
serial_adhoc,100,4,5,1775645433034635,1775645433046763,12.128,ok
serial_adhoc,100,4,6,1775645433044516,1775645433057042,12.526,ok
serial_adhoc,100,4,7,1775645433054613,1775645433067332,12.719,ok
serial_adhoc,100,4,8,1775645433064527,1775645433077876,13.349,ok
serial_adhoc,100,4,9,1775645433074527,1775645433087902,13.375,ok
serial_adhoc,100,4,10,1775645433084609,1775645433097945,13.336,ok
serial_adhoc,100,4,11,1775645433094543,1775645433108139,13.596,ok
serial_adhoc,100,4,12,1775645433104619,1775645433118019,13.4,ok
serial_adhoc,100,4,13,1775645433114517,1775645433128025,13.508,ok
serial_adhoc,100,4,14,1775645433124530,1775645433138064,13.534,ok
serial_adhoc,100,4,15,1775645433134551,1775645433148257,13.706,ok
serial_adhoc,100,4,16,1775645433144535,1775645433158128,13.593,ok
serial_adhoc,100,4,17,1775645433154642,1775645433168107,13.465,ok
serial_adhoc,100,4,18,1775645433164491,1775645433177986,13.495,ok
serial_adhoc,100,4,19,1775645433174532,1775645433189010,14.478,ok
serial_adhoc,100,4,20,1775645433184485,1775645433199448,14.963,ok
serial_adhoc,100,4,21,1775645433194508,1775645433209197,14.689,ok
serial_adhoc,100,4,22,1775645433204605,1775645433219079,14.474,ok
serial_adhoc,100,4,23,1775645433214493,1775645433229276,14.783,ok
serial_adhoc,100,4,24,1775645433224501,1775645433239437,14.936,ok
serial_adhoc,100,4,25,1775645433234491,1775645433249119,14.628,ok
serial_adhoc,100,4,26,1775645433244496,1775645433259497,15.001,ok
serial_adhoc,100,4,27,1775645433254621,1775645433269281,14.66,ok
serial_adhoc,100,4,28,1775645433264523,1775645433279306,14.783,ok
