config,frequency_hz,run,msg_index,send_ts_us,recv_ts_us,rtt_ms,status
serial_adhoc,100,8,1,1775645505486925,1775645505500108,13.183,ok
serial_adhoc,100,8,2,1775645505497173,1775645505510436,13.263,ok
serial_adhoc,100,8,3,1775645505507018,1775645505520620,13.602,ok
serial_adhoc,100,8,4,1775645505517066,1775645505530844,13.778,ok
serial_adhoc,100,8,5,1775645505527016,1775645505541889,14.873,ok
serial_adhoc,100,8,6,1775645505537027,1775645505551798,14.771,ok
serial_adhoc,100,8,7,1775645505547092,1775645505561736,14.644,ok
serial_adhoc,100,8,8,1775645505557017,1775645505570426,13.409,ok
serial_adhoc,100,8,9,1775645505567007,1775645505580793,13.786,ok
serial_adhoc,100,8,10,1775645505577028,1775645505591147,14.119,ok
serial_adhoc,100,8,11,1775645505587046,1775645505600926,13.88,ok
serial_adhoc,100,8,12,1775645505597082,1775645505610763,13.681,ok
serial_adhoc,100,8,13,1775645505607017,1775645505621138,14.121,ok
serial_adhoc,100,8,14,1775645505617560,1775645505630993,13.433,ok
serial_adhoc,100,8,15,1775645505627012,1775645505641496,14.484,ok
serial_adhoc,100,8,16,1775645505637045,1775645505652764,15.719,ok
serial_adhoc,100,8,17,1775645505647036,1775645505662022,14.986,ok
serial_adhoc,100,8,18,1775645505657009,1775645505672235,15.226,ok
serial_adhoc,100,8,19,1775645505667096,1775645505682192,15.096,ok
serial_adhoc,100,8,20,1775645505677057,1775645505691865,14.808,ok
serial_adhoc,100,8,21,1775645505687090,1775645505702928,15.838,ok
serial_adhoc,100,8,22,1775645505697023,1775645505712968,15.945,ok
serial_adhoc,100,8,23,1775645505707055,1775645505723069,16.014,ok
serial_adhoc,100,8,24,1775645505717070,1775645505733019,15.949,ok
serial_adhoc,100,8,25,1775645505727091,1775645505743231,16.14,ok
serial_adhoc,100,8,26,1775645505737392,1775645505753527,16.135,ok
serial_adhoc,100,8,27,1775645505747073,1775645505762806,15.733,ok
serial_adhoc,100,8,28,1775645505757024,1775645505774271,17.247,ok
serial_adhoc,100,8,29,1775645505767082,1775645505783267,16.185,ok
serial_adhoc,100,8,30,1775645505777075,1775645505792978,15.903,ok
serial_adhoc,100,8,31,1775645505787010,1775645505802979,15.969,ok
serial_adhoc,100,8,32,1775645505797077,1775645505813401,16.324,ok
serial_adhoc,100,8,33,1775645505807045,1775645505824101,17.056,ok
serial_adhoc,100,8,34,1775645505817116,1775645505834173,17.057,ok
serial_adhoc,100,8,35,1775645505827017,1775645505843706,16.689,ok
serial_adhoc,100,8,36,1775645505837520,1775645505854429,16.909,ok
serial_adhoc,100,8,37,1775645505847040,1775645505864368,17.328,ok
serial_adhoc,100,8,38,1775645505857063,1775645505874597,17.534,ok
serial_adhoc,100,8,39,1775645505867029,1775645505884634,17.605,ok
serial_adhoc,100,8,40,1775645505877096,1775645505894337,17.241,ok
serial_adhoc,100,8,41,1775645505887360,1775645505904419,17.059,ok
serial_adhoc,100,8,42,1775645505897026,1775645505915257,18.231,ok
serial_adhoc,100,8,43,1775645505907001,1775645505926209,19.208,ok
serial_adhoc,100,8,44,1775645505916998,1775645505935375,18.377,ok
serial_adhoc,100,8,45,1775645505927060,1775645505945320,18.26,ok
serial_adhoc,100,8,46,1775645505937081,1775645505955256,18.175,ok
serial_adhoc,100,8,47,1775645505947037,1775645505965458,18.421,ok
serial_adhoc,100,8,48,1775645505957007,1775645505976210,19.203,ok
serial_adhoc,100,8,49,1775645505967007,1775645505985614,18.607,ok
serial_adhoc,100,8,50,1775645505977074,1775645505997944,20.87,ok
serial_adhoc,100,8,51,1775645505987028,1775645506004216,17.188,ok
serial_adhoc,100,8,52,1775645505997056,1775645506014433,17.377,ok
serial_adhoc,100,8,53,1775645506007052,1775645506024865,17.813,ok
serial_adhoc,100,8,54,1775645506016995,1775645506035097,18.102,ok
serial_adhoc,100,8,55,1775645506027003,1775645506045259,18.256,ok
serial_adhoc,100,8,56,1775645506036995,1775645506055354,18.359,ok
serial_adhoc,100,8,57,1775645506047068,1775645506065460,18.392,ok
serial_adhoc,100,8,58,1775645506057071,1775645506075777,18.706,ok
serial_adhoc,100,8,59,1775645506067022,1775645506085519,18.497,ok
serial_adhoc,100,8,60,1775645506077062,1775645506095923,18.861,ok
serial_adhoc,100,8,61,1775645506087071,1775645506105441,18.37,ok
serial_adhoc,100,8,62,1775645506097002,1775645506115588,18.586,ok
serial_adhoc,100,8,63,1775645506107006,1775645506125348,18.342,ok
serial_adhoc,100,8,64,1775645506117004,1775645506136290,19.286,ok
serial_adhoc,100,8,65,1775645506127072,1775645506145444,18.372,ok
serial_adhoc,100,8,66,1775645506137068,1775645506155424,18.356,ok
