config,frequency_hz,run,send_ts_us,recv_ts_us,rtt_ms,status
serial_microros_reliable,10,4,1775630287939455,1775630287945106,5.651,ok
serial_microros_reliable,10,4,1775630288040119,1775630288045795,5.676,ok
serial_microros_reliable,10,4,1775630288139574,1775630288145508,5.934,ok
serial_microros_reliable,10,4,1775630288239547,1775630288244622,5.075,ok
serial_microros_reliable,10,4,1775630288339546,1775630288344691,5.145,ok
serial_microros_reliable,10,4,1775630288440101,1775630288445717,5.616,ok
serial_microros_reliable,10,4,1775630288539570,1775630288545615,6.045,ok
serial_microros_reliable,10,4,1775630288640106,1775630288645621,5.515,ok
serial_microros_reliable,10,4,1775630288740112,1775630288746102,5.99,ok
serial_microros_reliable,10,4,1775630288840108,1775630288845560,5.452,ok
serial_microros_reliable,10,4,1775630288940105,1775630288945911,5.806,ok
serial_microros_reliable,10,4,1775630289040088,1775630289045567,5.479,ok
serial_microros_reliable,10,4,1775630289139550,1775630289144750,5.2,ok
serial_microros_reliable,10,4,1775630289240021,1775630289245394,5.373,ok
serial_microros_reliable,10,4,1775630289340044,1775630289345614,5.57,ok
serial_microros_reliable,10,4,1775630289439625,1775630289445429,5.804,ok
serial_microros_reliable,10,4,1775630289540043,1775630289545746,5.703,ok
serial_microros_reliable,10,4,1775630289639601,1775630289645022,5.421,ok
serial_microros_reliable,10,4,1775630289739553,1775630289745131,5.578,ok
serial_microros_reliable,10,4,1775630289839562,1775630289845132,5.57,ok
serial_microros_reliable,10,4,1775630289939613,1775630289945200,5.587,ok
serial_microros_reliable,10,4,1775630290039554,1775630290046041,6.487,ok
serial_microros_reliable,10,4,1775630290139545,1775630290144934,5.389,ok
serial_microros_reliable,10,4,1775630290239550,1775630290244818,5.268,ok
serial_microros_reliable,10,4,1775630290339608,1775630290345176,5.568,ok
serial_microros_reliable,10,4,1775630290439543,1775630290445191,5.648,ok
serial_microros_reliable,10,4,1775630290540043,1775630290545516,5.473,ok
serial_microros_reliable,10,4,1775630290640091,1775630290645309,5.218,ok
serial_microros_reliable,10,4,1775630290739565,1775630290745020,5.455,ok
serial_microros_reliable,10,4,1775630290840076,1775630290845462,5.386,ok
serial_microros_reliable,10,4,1775630290939546,1775630290944778,5.232,ok
serial_microros_reliable,10,4,1775630291039569,1775630291044921,5.352,ok
serial_microros_reliable,10,4,1775630291140047,1775630291145476,5.429,ok
serial_microros_reliable,10,4,1775630291239556,1775630291244825,5.269,ok
serial_microros_reliable,10,4,1775630291340034,1775630291345271,5.237,ok
serial_microros_reliable,10,4,1775630291440032,1775630291445308,5.276,ok
serial_microros_reliable,10,4,1775630291539546,1775630291544784,5.238,ok
serial_microros_reliable,10,4,1775630291640028,1775630291645605,5.577,ok
serial_microros_reliable,10,4,1775630291739674,1775630291745077,5.403,ok
serial_microros_reliable,10,4,1775630291840087,1775630291845384,5.297,ok
serial_microros_reliable,10,4,1775630291939542,1775630291944863,5.321,ok
serial_microros_reliable,10,4,1775630292039564,1775630292045157,5.593,ok
serial_microros_reliable,10,4,1775630292139571,1775630292145438,5.867,ok
serial_microros_reliable,10,4,1775630292239634,1775630292245546,5.912,ok
serial_microros_reliable,10,4,1775630292339556,1775630292345383,5.827,ok
serial_microros_reliable,10,4,1775630292440102,1775630292445578,5.476,ok
serial_microros_reliable,10,4,1775630292539548,1775630292544844,5.296,ok
serial_microros_reliable,10,4,1775630292639762,1775630292645244,5.482,ok
serial_microros_reliable,10,4,1775630292739547,1775630292744920,5.373,ok
serial_microros_reliable,10,4,1775630292840062,1775630292845612,5.55,ok
serial_microros_reliable,10,4,1775630292939559,1775630292944949,5.39,ok
serial_microros_reliable,10,4,1775630293039755,1775630293045150,5.395,ok
serial_microros_reliable,10,4,1775630293139740,1775630293145298,5.558,ok
serial_microros_reliable,10,4,1775630293239760,1775630293245174,5.414,ok
serial_microros_reliable,10,4,1775630293339565,1775630293345113,5.548,ok
serial_microros_reliable,10,4,1775630293439546,1775630293444641,5.095,ok
serial_microros_reliable,10,4,1775630293539546,1775630293544774,5.228,ok
serial_microros_reliable,10,4,1775630293640048,1775630293645335,5.287,ok
serial_microros_reliable,10,4,1775630293740091,1775630293745407,5.316,ok
serial_microros_reliable,10,4,1775630293839551,1775630293844414,4.863,ok
serial_microros_reliable,10,4,1775630293939761,1775630293945749,5.988,ok
serial_microros_reliable,10,4,1775630294039605,1775630294044971,5.366,ok
serial_microros_reliable,10,4,1775630294140095,1775630294145392,5.297,ok
serial_microros_reliable,10,4,1775630294239543,1775630294244785,5.242,ok
serial_microros_reliable,10,4,1775630294340089,1775630294345626,5.537,ok
serial_microros_reliable,10,4,1775630294439551,1775630294444731,5.18,ok
serial_microros_reliable,10,4,1775630294539550,1775630294545105,5.555,ok
serial_microros_reliable,10,4,1775630294639607,1775630294645008,5.401,ok
serial_microros_reliable,10,4,1775630294739607,1775630294744895,5.288,ok
serial_microros_reliable,10,4,1775630294839566,1775630294844909,5.343,ok
serial_microros_reliable,10,4,1775630294939618,1775630294944780,5.162,ok
serial_microros_reliable,10,4,1775630295040088,1775630295045242,5.154,ok
serial_microros_reliable,10,4,1775630295139745,1775630295144793,5.048,ok
serial_microros_reliable,10,4,1775630295240074,1775630295245161,5.087,ok
serial_microros_reliable,10,4,1775630295340076,1775630295345261,5.185,ok
serial_microros_reliable,10,4,1775630295440083,1775630295445410,5.327,ok
serial_microros_reliable,10,4,1775630295539544,1775630295544544,5.0,ok
serial_microros_reliable,10,4,1775630295640079,1775630295645295,5.216,ok
serial_microros_reliable,10,4,1775630295740046,1775630295745121,5.075,ok
serial_microros_reliable,10,4,1775630295840032,1775630295845282,5.25,ok
serial_microros_reliable,10,4,1775630295939624,1775630295944798,5.174,ok
serial_microros_reliable,10,4,1775630296039546,1775630296044729,5.183,ok
serial_microros_reliable,10,4,1775630296139686,1775630296144651,4.965,ok
serial_microros_reliable,10,4,1775630296239544,1775630296244634,5.09,ok
serial_microros_reliable,10,4,1775630296339591,1775630296344664,5.073,ok
serial_microros_reliable,10,4,1775630296439531,1775630296444564,5.033,ok
serial_microros_reliable,10,4,1775630296539538,1775630296544949,5.411,ok
serial_microros_reliable,10,4,1775630296639680,1775630296644504,4.824,ok
serial_microros_reliable,10,4,1775630296739538,1775630296744675,5.137,ok
serial_microros_reliable,10,4,1775630296840076,1775630296845041,4.965,ok
serial_microros_reliable,10,4,1775630296940075,1775630296945129,5.054,ok
serial_microros_reliable,10,4,1775630297040085,1775630297045163,5.078,ok
serial_microros_reliable,10,4,1775630297140019,1775630297145171,5.152,ok
serial_microros_reliable,10,4,1775630297239536,1775630297244576,5.04,ok
serial_microros_reliable,10,4,1775630297340071,1775630297345067,4.996,ok
serial_microros_reliable,10,4,1775630297440043,1775630297445158,5.115,ok
serial_microros_reliable,10,4,1775630297540022,1775630297545140,5.118,ok
serial_microros_reliable,10,4,1775630297640036,1775630297645144,5.108,ok
serial_microros_reliable,10,4,1775630297739530,1775630297744238,4.708,ok
serial_microros_reliable,10,4,1775630297840022,1775630297844989,4.967,ok
serial_microros_reliable,10,4,1775630297939530,1775630297944524,4.994,ok
serial_microros_reliable,10,4,1775630298039549,1775630298044609,5.06,ok
serial_microros_reliable,10,4,1775630298139551,1775630298144916,5.365,ok
serial_microros_reliable,10,4,1775630298239547,1775630298244964,5.417,ok
serial_microros_reliable,10,4,1775630298339747,1775630298345063,5.316,ok
serial_microros_reliable,10,4,1775630298439542,1775630298445197,5.655,ok
serial_microros_reliable,10,4,1775630298539547,1775630298544881,5.334,ok
serial_microros_reliable,10,4,1775630298639558,1775630298644967,5.409,ok
serial_microros_reliable,10,4,1775630298739545,1775630298744761,5.216,ok
serial_microros_reliable,10,4,1775630298839932,1775630298845186,5.254,ok
serial_microros_reliable,10,4,1775630298939542,1775630298944895,5.353,ok
serial_microros_reliable,10,4,1775630299039737,1775630299045253,5.516,ok
serial_microros_reliable,10,4,1775630299139621,1775630299144962,5.341,ok
serial_microros_reliable,10,4,1775630299239550,1775630299244652,5.102,ok
serial_microros_reliable,10,4,1775630299339553,1775630299344479,4.926,ok
serial_microros_reliable,10,4,1775630299439540,1775630299444594,5.054,ok
serial_microros_reliable,10,4,1775630299539703,1775630299544769,5.066,ok
serial_microros_reliable,10,4,1775630299640082,1775630299645302,5.22,ok
serial_microros_reliable,10,4,1775630299739542,1775630299744776,5.234,ok
serial_microros_reliable,10,4,1775630299840079,1775630299845102,5.023,ok
serial_microros_reliable,10,4,1775630299940011,1775630299945222,5.211,ok
serial_microros_reliable,10,4,1775630300039555,1775630300044777,5.222,ok
serial_microros_reliable,10,4,1775630300140044,1775630300145205,5.161,ok
serial_microros_reliable,10,4,1775630300239561,1775630300244853,5.292,ok
serial_microros_reliable,10,4,1775630300340051,1775630300345446,5.395,ok
serial_microros_reliable,10,4,1775630300440089,1775630300445564,5.475,ok
serial_microros_reliable,10,4,1775630300539565,1775630300545379,5.814,ok
serial_microros_reliable,10,4,1775630300639550,1775630300644785,5.235,ok
serial_microros_reliable,10,4,1775630300740068,1775630300744216,4.148,ok
serial_microros_reliable,10,4,1775630300840071,1775630300845189,5.118,ok
serial_microros_reliable,10,4,1775630300939543,1775630300944686,5.143,ok
serial_microros_reliable,10,4,1775630301039743,1775630301045175,5.432,ok
serial_microros_reliable,10,4,1775630301139549,1775630301145628,6.079,ok
serial_microros_reliable,10,4,1775630301240009,1775630301245502,5.493,ok
serial_microros_reliable,10,4,1775630301339547,1775630301344829,5.282,ok
serial_microros_reliable,10,4,1775630301439537,1775630301444827,5.29,ok
serial_microros_reliable,10,4,1775630301539731,1775630301545032,5.301,ok
serial_microros_reliable,10,4,1775630301640020,1775630301645419,5.399,ok
serial_microros_reliable,10,4,1775630301740088,1775630301745553,5.465,ok
serial_microros_reliable,10,4,1775630301840029,1775630301845530,5.501,ok
serial_microros_reliable,10,4,1775630301939743,1775630301945273,5.53,ok
serial_microros_reliable,10,4,1775630302040026,1775630302045239,5.213,ok
serial_microros_reliable,10,4,1775630302139553,1775630302144811,5.258,ok
serial_microros_reliable,10,4,1775630302240012,1775630302245202,5.19,ok
serial_microros_reliable,10,4,1775630302339548,1775630302344791,5.243,ok
serial_microros_reliable,10,4,1775630302439542,1775630302444762,5.22,ok
serial_microros_reliable,10,4,1775630302540043,1775630302545241,5.198,ok
serial_microros_reliable,10,4,1775630302640031,1775630302645218,5.187,ok
serial_microros_reliable,10,4,1775630302740092,1775630302745282,5.19,ok
serial_microros_reliable,10,4,1775630302839543,1775630302844576,5.033,ok
serial_microros_reliable,10,4,1775630302939549,1775630302944719,5.17,ok
serial_microros_reliable,10,4,1775630303039553,1775630303045807,6.254,ok
serial_microros_reliable,10,4,1775630303139556,1775630303144880,5.324,ok
serial_microros_reliable,10,4,1775630303239553,1775630303245018,5.465,ok
serial_microros_reliable,10,4,1775630303339545,1775630303344845,5.3,ok
serial_microros_reliable,10,4,1775630303439571,1775630303445029,5.458,ok
serial_microros_reliable,10,4,1775630303540089,1775630303545549,5.46,ok
serial_microros_reliable,10,4,1775630303640091,1775630303645482,5.391,ok
serial_microros_reliable,10,4,1775630303740031,1775630303745267,5.236,ok
serial_microros_reliable,10,4,1775630303839547,1775630303844912,5.365,ok
serial_microros_reliable,10,4,1775630303940090,1775630303945396,5.306,ok
serial_microros_reliable,10,4,1775630304040092,1775630304045515,5.423,ok
serial_microros_reliable,10,4,1775630304140053,1775630304145387,5.334,ok
serial_microros_reliable,10,4,1775630304239554,1775630304245088,5.534,ok
serial_microros_reliable,10,4,1775630304340089,1775630304345467,5.378,ok
serial_microros_reliable,10,4,1775630304439553,1775630304444681,5.128,ok
serial_microros_reliable,10,4,1775630304540044,1775630304545094,5.05,ok
serial_microros_reliable,10,4,1775630304640022,1775630304645103,5.081,ok
serial_microros_reliable,10,4,1775630304740039,1775630304745117,5.078,ok
serial_microros_reliable,10,4,1775630304839594,1775630304844714,5.12,ok
serial_microros_reliable,10,4,1775630304939543,1775630304944683,5.14,ok
serial_microros_reliable,10,4,1775630305039552,1775630305044518,4.966,ok
serial_microros_reliable,10,4,1775630305139715,1775630305144734,5.019,ok
serial_microros_reliable,10,4,1775630305239739,1775630305244741,5.002,ok
serial_microros_reliable,10,4,1775630305339534,1775630305345072,5.538,ok
serial_microros_reliable,10,4,1775630305439531,1775630305444244,4.713,ok
serial_microros_reliable,10,4,1775630305539591,1775630305544633,5.042,ok
serial_microros_reliable,10,4,1775630305639605,1775630305644528,4.923,ok
serial_microros_reliable,10,4,1775630305740075,1775630305745209,5.134,ok
serial_microros_reliable,10,4,1775630305839737,1775630305844950,5.213,ok
serial_microros_reliable,10,4,1775630305939613,1775630305944747,5.134,ok
serial_microros_reliable,10,4,1775630306039546,1775630306044994,5.448,ok
serial_microros_reliable,10,4,1775630306140092,1775630306145452,5.36,ok
serial_microros_reliable,10,4,1775630306239538,1775630306244641,5.103,ok
serial_microros_reliable,10,4,1775630306340072,1775630306345191,5.119,ok
serial_microros_reliable,10,4,1775630306439559,1775630306444827,5.268,ok
serial_microros_reliable,10,4,1775630306540090,1775630306545564,5.474,ok
serial_microros_reliable,10,4,1775630306639747,1775630306645215,5.468,ok
serial_microros_reliable,10,4,1775630306740090,1775630306745292,5.202,ok
serial_microros_reliable,10,4,1775630306839552,1775630306844941,5.389,ok
serial_microros_reliable,10,4,1775630306940083,1775630306945170,5.087,ok
serial_microros_reliable,10,4,1775630307039538,1775630307044757,5.219,ok
serial_microros_reliable,10,4,1775630307140079,1775630307145269,5.19,ok
serial_microros_reliable,10,4,1775630307239681,1775630307244887,5.206,ok
serial_microros_reliable,10,4,1775630307340092,1775630307345103,5.011,ok
serial_microros_reliable,10,4,1775630307439758,1775630307444939,5.181,ok
serial_microros_reliable,10,4,1775630307540090,1775630307545497,5.407,ok
serial_microros_reliable,10,4,1775630307639546,1775630307644783,5.237,ok
serial_microros_reliable,10,4,1775630307739560,1775630307745139,5.579,ok
serial_microros_reliable,10,4,1775630307839603,1775630307844823,5.22,ok
serial_microros_reliable,10,4,1775630307939687,1775630307944772,5.085,ok
serial_microros_reliable,10,4,1775630308039549,1775630308045042,5.493,ok
serial_microros_reliable,10,4,1775630308139555,1775630308144880,5.325,ok
serial_microros_reliable,10,4,1775630308239578,1775630308245481,5.903,ok
serial_microros_reliable,10,4,1775630308340050,1775630308345551,5.501,ok
serial_microros_reliable,10,4,1775630308439547,1775630308444903,5.356,ok
serial_microros_reliable,10,4,1775630308539724,1775630308545387,5.663,ok
serial_microros_reliable,10,4,1775630308639561,1775630308645539,5.978,ok
serial_microros_reliable,10,4,1775630308739553,1775630308745004,5.451,ok
serial_microros_reliable,10,4,1775630308839907,1775630308845642,5.735,ok
serial_microros_reliable,10,4,1775630308939566,1775630308945235,5.669,ok
serial_microros_reliable,10,4,1775630309039530,1775630309044835,5.305,ok
serial_microros_reliable,10,4,1775630309139880,1775630309145120,5.24,ok
serial_microros_reliable,10,4,1775630309239543,1775630309244720,5.177,ok
serial_microros_reliable,10,4,1775630309339562,1775630309344990,5.428,ok
serial_microros_reliable,10,4,1775630309440091,1775630309445645,5.554,ok
serial_microros_reliable,10,4,1775630309539698,1775630309544877,5.179,ok
serial_microros_reliable,10,4,1775630309640089,1775630309645290,5.201,ok
serial_microros_reliable,10,4,1775630309739536,1775630309744819,5.283,ok
serial_microros_reliable,10,4,1775630309839616,1775630309845415,5.799,ok
serial_microros_reliable,10,4,1775630309939539,1775630309944317,4.778,ok
serial_microros_reliable,10,4,1775630310040028,1775630310045264,5.236,ok
serial_microros_reliable,10,4,1775630310139545,1775630310145788,6.243,ok
serial_microros_reliable,10,4,1775630310239547,1775630310244827,5.28,ok
serial_microros_reliable,10,4,1775630310339549,1775630310344935,5.386,ok
serial_microros_reliable,10,4,1775630310439549,1775630310444789,5.24,ok
serial_microros_reliable,10,4,1775630310539541,1775630310544645,5.104,ok
serial_microros_reliable,10,4,1775630310639540,1775630310644626,5.086,ok
serial_microros_reliable,10,4,1775630310739941,1775630310745143,5.202,ok
