config,frequency_hz,run,msg_index,send_ts_us,recv_ts_us,rtt_ms,status
serial_adhoc,10,8,1,1775628037250230,1775628037264269,14.039,ok
serial_adhoc,10,8,2,1775628037350433,1775628037363256,12.823,ok
serial_adhoc,10,8,3,1775628037450395,1775628037463092,12.697,ok
serial_adhoc,10,8,4,1775628037550340,1775628037563144,12.804,ok
serial_adhoc,10,8,5,1775628037650332,1775628037663215,12.883,ok
serial_adhoc,10,8,6,1775628037750416,1775628037763142,12.726,ok
serial_adhoc,10,8,7,1775628037850417,1775628037863045,12.628,ok
serial_adhoc,10,8,8,1775628037950317,1775628037962714,12.397,ok
serial_adhoc,10,8,9,1775628038050425,1775628038063441,13.016,ok
serial_adhoc,10,8,10,1775628038150368,1775628038163023,12.655,ok
serial_adhoc,10,8,11,1775628038250340,1775628038262977,12.637,ok
serial_adhoc,10,8,12,1775628038350408,1775628038363147,12.739,ok
serial_adhoc,10,8,13,1775628038450539,1775628038463414,12.875,ok
serial_adhoc,10,8,14,1775628038550457,1775628038563131,12.674,ok
serial_adhoc,10,8,15,1775628038650452,1775628038663297,12.845,ok
serial_adhoc,10,8,16,1775628038750307,1775628038762562,12.255,ok
serial_adhoc,10,8,17,1775628038850629,1775628038863275,12.646,ok
serial_adhoc,10,8,18,1775628038950321,1775628038963185,12.864,ok
serial_adhoc,10,8,19,1775628039050325,1775628039063140,12.815,ok
serial_adhoc,10,8,20,1775628039150414,1775628039162969,12.555,ok
serial_adhoc,10,8,21,1775628039250334,1775628039262603,12.269,ok
serial_adhoc,10,8,22,1775628039350374,1775628039362641,12.267,ok
serial_adhoc,10,8,23,1775628039450331,1775628039463009,12.678,ok
serial_adhoc,10,8,24,1775628039550330,1775628039563156,12.826,ok
serial_adhoc,10,8,25,1775628039650315,1775628039662638,12.323,ok
serial_adhoc,10,8,26,1775628039750304,1775628039762258,11.954,ok
serial_adhoc,10,8,27,1775628039850313,1775628039862784,12.471,ok
serial_adhoc,10,8,28,1775628039950439,1775628039963081,12.642,ok
serial_adhoc,10,8,29,1775628040050488,1775628040062679,12.191,ok
serial_adhoc,10,8,30,1775628040150334,1775628040162706,12.372,ok
serial_adhoc,10,8,31,1775628040250287,1775628040262073,11.786,ok
serial_adhoc,10,8,32,1775628040350317,1775628040362942,12.625,ok
serial_adhoc,10,8,33,1775628040450325,1775628040462432,12.107,ok
serial_adhoc,10,8,34,1775628040550443,1775628040563030,12.587,ok
serial_adhoc,10,8,35,1775628040650321,1775628040663183,12.862,ok
serial_adhoc,10,8,36,1775628040750322,1775628040762546,12.224,ok
serial_adhoc,10,8,37,1775628040850308,1775628040862709,12.401,ok
serial_adhoc,10,8,38,1775628040950399,1775628040962982,12.583,ok
serial_adhoc,10,8,39,1775628041050397,1775628041063586,13.189,ok
serial_adhoc,10,8,40,1775628041150330,1775628041162519,12.189,ok
serial_adhoc,10,8,41,1775628041250404,1775628041262967,12.563,ok
serial_adhoc,10,8,42,1775628041350308,1775628041362955,12.647,ok
serial_adhoc,10,8,43,1775628041450755,1775628041463312,12.557,ok
serial_adhoc,10,8,44,1775628041550332,1775628041561847,11.515,ok
serial_adhoc,10,8,45,1775628041650309,1775628041662709,12.4,ok
serial_adhoc,10,8,46,1775628041750402,1775628041763072,12.67,ok
serial_adhoc,10,8,47,1775628041850391,1775628041861918,11.527,ok
serial_adhoc,10,8,48,1775628041950307,1775628041962902,12.595,ok
serial_adhoc,10,8,49,1775628042050396,1775628042062359,11.963,ok
serial_adhoc,10,8,50,1775628042150408,1775628042163006,12.598,ok
serial_adhoc,10,8,51,1775628042250399,1775628042262498,12.099,ok
serial_adhoc,10,8,52,1775628042350313,1775628042362306,11.993,ok
serial_adhoc,10,8,53,1775628042450506,1775628042462569,12.063,ok
serial_adhoc,10,8,54,1775628042550571,1775628042562938,12.367,ok
serial_adhoc,10,8,55,1775628042650332,1775628042663069,12.737,ok
serial_adhoc,10,8,56,1775628042750399,1775628042762832,12.433,ok
serial_adhoc,10,8,57,1775628042850434,1775628042863150,12.716,ok
serial_adhoc,10,8,58,1775628042950377,1775628042962847,12.47,ok
serial_adhoc,10,8,59,1775628043050404,1775628043062954,12.55,ok
serial_adhoc,10,8,60,1775628043150308,1775628043162275,11.967,ok
serial_adhoc,10,8,61,1775628043250469,1775628043263105,12.636,ok
serial_adhoc,10,8,62,1775628043350400,1775628043362981,12.581,ok
serial_adhoc,10,8,63,1775628043450406,1775628043462837,12.431,ok
serial_adhoc,10,8,64,1775628043550309,1775628043562645,12.336,ok
serial_adhoc,10,8,65,1775628043650402,1775628043662985,12.583,ok
serial_adhoc,10,8,66,1775628043750478,1775628043763037,12.559,ok
serial_adhoc,10,8,67,1775628043850315,1775628043862952,12.637,ok
serial_adhoc,10,8,68,1775628043950486,1775628043963030,12.544,ok
serial_adhoc,10,8,69,1775628044050311,1775628044065236,14.925,ok
serial_adhoc,10,8,70,1775628044150403,1775628044163007,12.604,ok
serial_adhoc,10,8,71,1775628044250460,1775628044262486,12.026,ok
serial_adhoc,10,8,72,1775628044350311,1775628044362455,12.144,ok
serial_adhoc,10,8,73,1775628044450324,1775628044462195,11.871,ok
serial_adhoc,10,8,74,1775628044550382,1775628044563480,13.098,ok
serial_adhoc,10,8,75,1775628044650399,1775628044662908,12.509,ok
serial_adhoc,10,8,76,1775628044750412,1775628044762978,12.566,ok
serial_adhoc,10,8,77,1775628044850334,1775628044862779,12.445,ok
